Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0x5873002348cd4df2abd2624a6fc30e90573019f5","","7,469.603835510041379186","44.0318%",""
"2","0xb7a458af8ed4d14fb9f89284ad26ecd4c02afa12","","3,496.089281351365065253","20.6087%",""
"3","0xcc0502ab76ed21cc8931693767ca2b2d09bc1ade","","1,611.079264528632580344","9.4970%",""
"4","0xa125ddbea4a910dfd492a42fac5b33542f6a71f2","","1,600.613273696092556291","9.4353%",""
"5","0x4a51e33c241f0761dbdc8a22f046c41935c7b1b9","","1,285.756745062839478394","7.5793%",""
"6","0xe6bd9cd02f5507c911b9b9ca4a4666259c9024fa","","383.956821889523430784","2.2633%",""
"7","0xf85f074f8b7a6d6d4208fa8fbbef0301de0bb9f7","","156.247526648726576684","0.9210%",""
"8","0x5141c9b958ca8d2097f29124255951235763bb09","","152.773640324469651684","0.9006%",""
"9","0xa770fd77de7619b10301714c7733133b4a520210","","139.411429973838105715","0.8218%",""
"10","0xf3dbf679d5d1e5d97fd4d486276b1d361d2623a2","","132.793853234469868032","0.7828%",""
"11","0x31c057a4d4b47a854dbfe4f1a18aba2330729c3d","","85.715694359905218349","0.5053%",""
"12","0x1cab13d773cf6ba49c699cbdbfada7ebe5d5d224","","76.536314159881245601","0.4512%",""
"13","0xdab60ee75171b84f71bf2fb9b2d2e77aed814616","","71.212692180143960633","0.4198%",""
"14","0xad95f31be932adeaceafc5d9f34253b2e4f2e6ad","","66.86764654714475355","0.3942%",""
"15","0x9464109637e26f66334db4d98e287baf5f739f58","","62.814185940918240825","0.3703%",""
"16","0x67102752c2cc757dbdbc5b3b3223e24eaa09a1d0","anasthesia.unstoppable","60.00037975640256721","0.3537%",""
"17","0x6933194c91e0178bcc7917100fb69b74ae9db6ac","","50.955100855784505796","0.3004%",""
"18","0xd0013d0d6afcc1ad69a8a5d898a178c5ec03af4b","","22.331625181647231012","0.1316%",""
"19","0x4ee77d7a485cfd4c7b522dcef34194608582adf7","","20.616663263503792782","0.1215%",""
"20","0xa18abe5eddab2cdbf2837425faaf32bd9b0085dc","","11.170476029979059554","0.0658%",""
"21","0xb26141c8caeecb06663a6ff611db62511e228fa9","","6.939910523582435737","0.0409%",""
"22","0x44574d53474729f2949a7ecfb68b0641cfda4aa8","","0.631898318078202701","0.0037%",""
"23","0x2b85ae1111a20d1bfdca2af2aab1e5356f14a3a0","","0.002085032254821992","0.0000%",""
"24","0x0000000000000000000000000000000000000000","Null: 0x000…000","0.000000000000001","0.0000%",""
